State,Borrower Count,Dollar Amount (in millions)
Alabama,63350,2604.5
Alaska,5660,244.79999999999998
Arizona,91950,3443.7
Arkansas,37090,1456.5
California,464400,15567.8
Colorado,86990,3273.3
Connecticut,35390,1507.4
Delaware,11450,494.8
District of Columbia,15320,806.4
Florida,322890,12152.4
Georgia,202730,8566.800000000001
Hawaii,12600,479.8
Idaho,21990,838.5
Illinois,172000,6207.3
Indiana,92540,3349.6000000000004
Iowa,38280,1447.6
Kansas,35640,1444
Kentucky,54300,1925.1000000000001
Louisiana,62580,2631.6000000000004
Maine,17390,740.9000000000001
Maryland,90510,4433
Massachusetts,68830,2882.9
Michigan,160130,5611.5
Minnesota,65450,2728.4000000000005
Mississippi,45040,1906.7
Missouri,89510,3563.1000000000004
Montana,13140,558.8000000000001
Nebraska,21660,898.5
Nevada,45670,1405.5
New Hampshire,14560,637.4999999999999
New Jersey,82400,3493.6000000000004
New Mexico,23990,941.4
New York,214120,9626.4
North Carolina,124160,4882.499999999999
North Dakota,6990,285.7
Ohio,182430,7033.9
Oklahoma,47150,1759.6000000000001
Oregon,63720,2464.7000000000003
Pennsylvania,162330,6481.699999999999
Puerto Rico,16920,463.59999999999997
Rhode Island,10570,437
South Carolina,75930,3370.8
South Dakota,10400,441.7
Tennessee,84360,3435.1
Texas,362200,12356.199999999999
Utah,25030,944.9000000000001
Vermont,7860,403.4
Virginia,115930,4776.099999999999
Washington,95260,3411.4
West Virginia,24390,802.8
Wisconsin,62450,2464.2
Wyoming,6150,223.29999999999998
All Other Locations,93650,2171.4
Total,4357290,166480.6
